WS_Nm2,TW,mode,converged,iterations,feasible,rejectionReason,score,score_constraintRobustness,score_aeroPerformance,score_realAircraftFit,score_configurationQuality,score_sizePenalty,insideConstraintDesignArea,TWconstraintRequired,TWconstraintTakeoff,TWconstraintCruise,TWconstraintOEI,WSconstraintLandingLimit_Nm2,WSconstraintLandingWeightLimit_Nm2,S_m2,b_m,rootChord_m,tipChord_m,MAC_m,yMAC_m,LEMAC_m,wingAC_m,spanFuselageRatio,CD0,K,CLcruise,CDcruise,LDcruise,Mff,MTOW_kg,OEW_kg,fuel_kg,payload_kg,crew_kg,wingMass_kg,tailMass_kg,gearMass_kg,propulsionMass_kg,SH_m2,SV_m2,tailArea_m2,tailToWingArea,lH_m,lV_m,xCG_m,hCG,staticMargin,xNP_m,xNG_m,xMG_m,CGtoMGarm_m,noseToCGarm_m,noseReaction_kN,mainReaction_kN,noseWheelLoad_kN,mainWheelLoad_kN,totalThrust_kN,perEngineThrust_kN,WSlandingLimit_Nm2,WSlandingLimitLandingWeight_Nm2,betaLanding,TWtakeoffReq,TWcruiseReq,TWOEIReq,TWactiveReq,landingMargin,takeoffMargin,thrustMargin,cruiseMargin
5050,0.335,balanced,1,6,1,OK,0.0405616741692554,0,0.125956705632476,0.00354460271186085,0.0667112575581428,0,1,0.295821078431373,0.295821078431373,0.198670338117727,0.285,5580.17471537658,4743.14850807009,176.008068848484,38.6790458156883,6.86864298613777,2.23230897049477,4.94412697964445,8.02772649004852,20.9595668771408,22.1955986220519,0.812584996127906,0.0171761909808587,0.0440567316517357,0.407377397366269,0.0245876850892996,16.5683510215265,0.773098996051148,90605.5808037558,45739.1586936278,21586.422110128,22320,960,10977.3412676132,2786.84787655029,3776.16276453798,9491.43174659122,38.1595739965531,24.4178681814867,62.5774421780398,0.355537348869553,22.8044013779481,22.3044013779481,21.9437610036401,0.199063278623569,0.130936721376431,22.5911287804235,4.76,23.8530677818223,1.90930677818223,17.1837610036401,88.8840747684845,799.95667291636,44.4420373842422,199.98916822909,297.761650474423,148.880825237211,5580.17471537658,4743.14850807009,0.85,0.295821078431373,0.196321259919973,0.285,0.295821078431373,0.0950104149813889,0.132441277600563,0.132441277600563,0.70638676695818
5075,0.3375,balanced,1,6,1,OK,0.0406556608995363,0,0.118930558118163,0.00830246320744869,0.0694768078777906,0.000608841502008427,1,0.297285539215686,0.297285539215686,0.198400102398024,0.285,5580.17471537658,4743.14850807009,175.14103402657,38.5836596142181,6.85170426001654,2.22680388450538,4.93193429282323,8.00792935389433,20.952696515988,22.1856800891938,0.810581084332314,0.017221651737508,0.0440567316517357,0.409394117155211,0.0247057160624452,16.5708258008164,0.773098996051148,90605.5808037558,45739.1586936278,21586.422110128,22320,960,10932.217038786,2768.88263637868,3776.92507608377,9549.9823592096,37.8614867843168,24.2268895252,62.0883763095167,0.354505023078129,22.8143199108062,22.3143199108062,21.9336742520088,0.198903245213199,0.131096754786801,22.5802348326197,4.76,23.8418602800098,1.90818602800098,17.1736742520088,88.8840747684845,799.95667291636,44.4420373842422,199.98916822909,299.983752343635,149.991876171818,5580.17471537658,4743.14850807009,0.85,0.297285539215686,0.196390644636325,0.285,0.297285539215686,0.0905302685209007,0.135272172640518,0.135272172640518,0.718513631975597
5050,0.3375,balanced,1,6,1,OK,0.040711345213134,0,0.125268748404249,0.00428029771374658,0.0670534149004596,0.000608841502008427,1,0.295821078431373,0.295821078431373,0.198670338117727,0.285,5580.17471537658,4743.14850807009,176.008068848484,38.6790458156883,6.86864298613777,2.23230897049477,4.94412697964445,8.02772649004852,20.9561463040087,22.1921780489198,0.812584996127906,0.0171797768827444,0.0440567316517357,0.407377397366269,0.0245912709911853,16.5659350227279,0.773098996051148,90605.5808037558,45739.1586936278,21586.422110128,22320,960,10963.8543926933,2783.06599484887,3771.52333194306,9536.32401009928,38.1538510645771,24.4141240641081,62.5679751286852,0.355483561282333,22.8078219510802,22.3078219510802,21.9399516605594,0.198984645944805,0.131015354055195,22.5877082072913,4.76,23.8488351783993,1.90888351783993,17.1799516605594,88.8840747684845,799.95667291636,44.4420373842422,199.98916822909,299.983752343635,149.991876171818,5580.17471537658,4743.14850807009,0.85,0.295821078431373,0.196347273907976,0.285,0.295821078431373,0.0950104149813889,0.140892331911015,0.140892331911015,0.718893230767135
5075,0.335,balanced,1,6,1,OK,0.0407889585015863,0.0011810811554225,0.119618651877838,0.00756676820556296,0.0691309105431871,0,1,0.297285539215686,0.297285539215686,0.198400102398024,0.285,5580.17471537658,4743.14850807009,175.14103402657,38.5836596142181,6.85170426001654,2.22680388450538,4.93193429282323,8.00792935389433,20.9561119214883,22.1890954946941,0.810581084332314,0.0172180454786647,0.0440567316517357,0.409394117155211,0.024702109803602,16.5732449742214,0.773098996051148,90605.5808037558,45739.1586936278,21586.422110128,22320,960,10945.6849937052,2772.64966903913,3781.57806243387,9505.04316473479,37.8671556665035,24.2305982341732,62.0977539006767,0.35455856616249,22.8109045053059,22.3109045053059,21.9374771818632,0.198981819730015,0.131018180269985,22.58365023812,4.76,23.8460857576257,1.90860857576257,17.1774771818632,88.8840747684845,799.95667291636,44.4420373842422,199.98916822909,297.761650474423,148.880825237211,5580.17471537658,4743.14850807009,0.85,0.297285539215686,0.196364611843629,0.285,0.297285539215686,0.0905302685209007,0.126862749139477,0.126862749139477,0.706010043534576
5100,0.3375,balanced,1,7,1,OK,0.0409457760001545,1.02939374310654e-05,0.113042363792728,0.0137795736159511,0.0706712384446373,0.000608841502008427,1,0.29875,0.29875,0.198135752702295,0.285,5580.17471537658,4743.14850807009,174.282499546048,38.4889756442206,6.83489023648757,2.22133932685846,4.91983136833964,7.98827796389484,20.9466768767249,22.1766347188098,0.808591925298752,0.0172633593538186,0.0440567316517357,0.411410836944153,0.0248203522666918,16.5755438328833,0.773098996051148,90605.5808037558,45739.1586936278,21586.422110128,22320,960,10900.8351251161,2754.57633330876,3782.31120048621,9563.60121369882,37.5685398562123,24.0392245371495,61.6077643933618,0.353493693020418,22.8233652811902,22.3233652811902,21.9263500617993,0.199127391109134,0.130872608890866,22.570221228277,4.76,23.8337222908881,1.90737222908881,17.1663500617993,88.8840747684845,799.95667291636,44.4420373842422,199.98916822909,299.983752343635,149.991876171818,5580.17471537658,4743.14850807009,0.85,0.29875,0.196435869518663,0.285,0.29875,0.0860501220604125,0.129707112970711,0.129707112970711,0.718117983375405
5075,0.34,balanced,1,7,1,OK,0.0411811090698939,0,0.118288083699774,0.0105621510232715,0.0685062785238986,0.00243687702086379,1,0.297285539215686,0.297285539215686,0.198400102398024,0.285,5580.17471537658,4743.14850807009,175.14103402657,38.5836596142181,6.85170426001654,2.22680388450538,4.93193429282323,8.00792935389433,20.9466886537888,22.1796722269946,0.810581084332314,0.0172250408788265,0.0440567316517357,0.409394117155211,0.0247091052037637,16.5685529192231,0.773098996051148,90605.5808037558,45739.1586936278,21586.422110128,22320,960,10918.8664502697,2764.87695548024,3772.31263815202,9594.80140739438,37.85151906617,24.2203684823523,62.0718875485223,0.354410877459508,22.8203277730054,22.3203277730054,21.9287809934139,0.19912924246662,0.13087075753338,22.5742269704205,4.76,23.8364233260154,1.90764233260154,17.1687809934139,88.8840747684845,799.95667291636,44.4420373842422,199.98916822909,302.205854212847,151.102927106424,5580.17471537658,4743.14850807009,0.85,0.297285539215686,0.196415110105166,0.285,0.297285539215686,0.0905302685209007,0.143681596141558,0.143681596141558,0.731027718885553
5025,0.3375,balanced,1,6,1,OK,0.0412976348544602,0,0.132019665776988,0.00175302130928932,0.064722749651294,0.000608841502008427,1,0.294356617647059,0.294356617647059,0.198947045559894,0.285,5580.17471537658,4743.14850807009,176.883730882556,38.7751429720346,6.88570796395732,2.23785508828613,4.95641054386739,8.04767118287511,20.9596336991641,22.198736335131,0.814603843950307,0.0171379430828579,0.0440567316517357,0.405360677577327,0.0244772253462419,16.560728262428,0.773098996051148,90605.5808037558,45739.1586936278,21586.422110128,22320,960,10995.6845968927,2797.38174095398,3766.08324592648,9522.5687132786,38.4499912667423,24.6037787184318,63.0537699851741,0.356470149462413,22.801263664869,22.301263664869,21.9462899728966,0.199066696553879,0.130933303446121,22.5952491786404,4.76,23.8558777476629,1.90958777476629,17.1862899728966,88.8840747684845,799.95667291636,44.4420373842422,199.98916822909,299.983752343635,149.991876171818,5580.17471537658,4743.14850807009,0.85,0.294356617647059,0.196307303592912,0.285,0.294356617647059,0.0994905614418771,0.146568413164304,0.146568413164304,0.719243216237552
5025,0.335,balanced,1,5,1,OK,0.0413192244819516,0,0.132666913080549,0.00101732630740359,0.0656736712610493,0,1,0.294356617647059,0.294356617647059,0.198947045559894,0.285,5580.17471537658,4743.14850807009,176.883730882556,38.7751429720346,6.88570796395732,2.23785508828613,4.95641054386739,8.04767118287511,20.9656293334182,22.204731969385,0.814603843950307,0.0171345843302515,0.0440567316517357,0.405360677577327,0.0244738665936355,16.5630010291362,0.773098996051148,90605.5808037558,45739.1586936278,21586.422110128,22320,960,11009.1251943613,2801.43276223292,3770.68672545479,9477.66765472318,38.4601044219988,24.6103951564249,63.0704995784237,0.356564729066576,22.795268030615,22.295268030615,21.9512006462616,0.19884779602506,0.13115220397494,22.6012448128944,4.76,23.8613340514018,1.91013340514018,17.1912006462616,88.8840747684845,799.95667291636,44.4420373842422,199.98916822909,297.761650474423,148.880825237211,5580.17471537658,4743.14850807009,0.85,0.294356617647059,0.196282816238808,0.285,0.294356617647059,0.0994905614418771,0.138075313807531,0.138075313807531,0.706720977512474
5050,0.34,balanced,1,6,1,OK,0.041411215324161,0,0.12458702186026,0.00653998552956941,0.0673960459095204,0.00243687702086379,1,0.295821078431373,0.295821078431373,0.198670338117727,0.285,5580.17471537658,4743.14850807009,176.008068848484,38.6790458156883,6.86864298613777,2.23230897049477,4.94412697964445,8.02772649004852,20.9527407980376,22.1887725429487,0.812584996127906,0.0171833540802886,0.0440567316517357,0.407377397366269,0.0245948481887295,16.56352559041,0.773098996051148,90605.5808037558,45739.1586936278,21586.422110128,22320,960,10950.4202357999,2779.30004807618,3766.90203414453,9581.03964480322,38.1481550463394,24.4103975795192,62.5585526258585,0.355430026788782,22.8112274570513,22.3112274570513,21.9361595659293,0.198906454454064,0.131093545545936,22.5843027013202,4.76,23.8446217399215,1.90846217399215,17.1761595659293,88.8840747684845,799.95667291636,44.4420373842422,199.98916822909,302.205854212847,151.102927106424,5580.17471537658,4743.14850807009,0.85,0.295821078431373,0.19637322475018,0.285,0.295821078431373,0.0950104149813889,0.149343386221467,0.149343386221467,0.731396937808286
5100,0.34,balanced,1,7,1,OK,0.0416314948866795,0,0.112363307720342,0.0160392614317739,0.0709258580772451,0.00243687702086379,1,0.29875,0.29875,0.198135752702295,0.285,5580.17471537658,4743.14850807009,174.282499546048,38.4889756442206,6.83489023648757,2.22133932685846,4.91983136833964,7.98827796389484,20.9431087933088,22.1730666353937,0.808591925298752,0.0172669634369798,0.0440567316517357,0.411410836944153,0.0248239563498529,16.5731373011615,0.773098996051148,90605.5808037558,45739.1586936278,21586.422110128,22320,960,10887.4428598024,2750.82345527681,3777.66442668269,9608.4135740019,37.5626675087582,24.0353828112391,61.5980503199973,0.353437955505809,22.8269333646063,22.3269333646063,21.9224979589992,0.199069661613404,0.130930338386596,22.5666531448609,4.76,23.8294421766658,1.90694421766658,17.1624979589992,88.8840747684845,799.95667291636,44.4420373842422,199.98916822909,302.205854212847,151.102927106424,5580.17471537658,4743.14850807009,0.85,0.29875,0.196461759070847,0.285,0.29875,0.0860501220604125,0.138075313807531,0.138075313807531,0.73061669409868
