WS_Nm2,TW,score,insideConstraintDesignArea,TWconstraintRequired,MTOW_kg,fuel_kg,S_m2,b_m,MAC_m,betaLanding,CD0,CLcruise,LDcruise,totalThrust_kN,perEngineThrust_kN,SH_m2,SV_m2,xCG_m,hCG,staticMargin,xMG_m,landingMargin,takeoffMargin,thrustMargin,cruiseMargin
5050,0.335,0.0405616741692554,1,0.295821078431373,90605.5808037558,21586.422110128,176.008068848484,38.6790458156883,4.94412697964445,0.85,0.0171761909808587,0.407377397366269,16.5683510215265,297.761650474423,148.880825237211,38.1595739965531,24.4178681814867,21.9437610036401,0.199063278623569,0.130936721376431,23.8530677818223,0.0950104149813889,0.132441277600563,0.132441277600563,0.70638676695818
5075,0.3375,0.0406556608995363,1,0.297285539215686,90605.5808037558,21586.422110128,175.14103402657,38.5836596142181,4.93193429282323,0.85,0.017221651737508,0.409394117155211,16.5708258008164,299.983752343635,149.991876171818,37.8614867843168,24.2268895252,21.9336742520088,0.198903245213199,0.131096754786801,23.8418602800098,0.0905302685209007,0.135272172640518,0.135272172640518,0.718513631975597
5050,0.3375,0.040711345213134,1,0.295821078431373,90605.5808037558,21586.422110128,176.008068848484,38.6790458156883,4.94412697964445,0.85,0.0171797768827444,0.407377397366269,16.5659350227279,299.983752343635,149.991876171818,38.1538510645771,24.4141240641081,21.9399516605594,0.198984645944805,0.131015354055195,23.8488351783993,0.0950104149813889,0.140892331911015,0.140892331911015,0.718893230767135
5075,0.335,0.0407889585015863,1,0.297285539215686,90605.5808037558,21586.422110128,175.14103402657,38.5836596142181,4.93193429282323,0.85,0.0172180454786647,0.409394117155211,16.5732449742214,297.761650474423,148.880825237211,37.8671556665035,24.2305982341732,21.9374771818632,0.198981819730015,0.131018180269985,23.8460857576257,0.0905302685209007,0.126862749139477,0.126862749139477,0.706010043534576
5100,0.3375,0.0409457760001545,1,0.29875,90605.5808037558,21586.422110128,174.282499546048,38.4889756442206,4.91983136833964,0.85,0.0172633593538186,0.411410836944153,16.5755438328833,299.983752343635,149.991876171818,37.5685398562123,24.0392245371495,21.9263500617993,0.199127391109134,0.130872608890866,23.8337222908881,0.0860501220604125,0.129707112970711,0.129707112970711,0.718117983375405
5075,0.34,0.0411811090698939,1,0.297285539215686,90605.5808037558,21586.422110128,175.14103402657,38.5836596142181,4.93193429282323,0.85,0.0172250408788265,0.409394117155211,16.5685529192231,302.205854212847,151.102927106424,37.85151906617,24.2203684823523,21.9287809934139,0.19912924246662,0.13087075753338,23.8364233260154,0.0905302685209007,0.143681596141558,0.143681596141558,0.731027718885553
5025,0.3375,0.0412976348544602,1,0.294356617647059,90605.5808037558,21586.422110128,176.883730882556,38.7751429720346,4.95641054386739,0.85,0.0171379430828579,0.405360677577327,16.560728262428,299.983752343635,149.991876171818,38.4499912667423,24.6037787184318,21.9462899728966,0.199066696553879,0.130933303446121,23.8558777476629,0.0994905614418771,0.146568413164304,0.146568413164304,0.719243216237552
5025,0.335,0.0413192244819516,1,0.294356617647059,90605.5808037558,21586.422110128,176.883730882556,38.7751429720346,4.95641054386739,0.85,0.0171345843302515,0.405360677577327,16.5630010291362,297.761650474423,148.880825237211,38.4601044219988,24.6103951564249,21.9512006462616,0.19884779602506,0.13115220397494,23.8613340514018,0.0994905614418771,0.138075313807531,0.138075313807531,0.706720977512474
5050,0.34,0.041411215324161,1,0.295821078431373,90605.5808037558,21586.422110128,176.008068848484,38.6790458156883,4.94412697964445,0.85,0.0171833540802886,0.407377397366269,16.56352559041,302.205854212847,151.102927106424,38.1481550463394,24.4103975795192,21.9361595659293,0.198906454454064,0.131093545545936,23.8446217399215,0.0950104149813889,0.149343386221467,0.149343386221467,0.731396937808286
5100,0.34,0.0416314948866795,1,0.29875,90605.5808037558,21586.422110128,174.282499546048,38.4889756442206,4.91983136833964,0.85,0.0172669634369798,0.411410836944153,16.5731373011615,302.205854212847,151.102927106424,37.5626675087582,24.0353828112391,21.9224979589992,0.199069661613404,0.130930338386596,23.8294421766658,0.0860501220604125,0.138075313807531,0.138075313807531,0.73061669409868
5025,0.34,0.0419971475287008,1,0.294356617647059,90605.5808037558,21586.422110128,176.883730882556,38.7751429720346,4.95641054386739,0.85,0.0171414999653136,0.405360677577327,16.558322107132,302.205854212847,151.102927106424,38.4442406355309,24.60001645612,21.9424914354987,0.198988446309069,0.131011553690931,23.8516571505541,0.0994905614418771,0.155061512521077,0.155061512521077,0.731749590168569
5050,0.3325,0.0421128840834714,1,0.295821078431373,90605.5808037558,21586.422110128,176.008068848484,38.6790458156883,4.94412697964445,0.85,0.0171728027370046,0.407377397366269,16.5706344959685,295.539548605211,147.769774302605,38.1696311590414,24.4244479462087,21.9486834336965,0.19884358162074,0.13115641837926,23.8585371485517,0.0950104149813889,0.123990223290111,0.123990223290111,0.693864614834531
5075,0.3425,0.0424189206389307,1,0.297285539215686,90605.5808037558,21586.422110128,175.14103402657,38.5836596142181,4.93193429282323,0.85,0.0172286159968827,0.409394117155211,16.5661559905235,304.427956082059,152.21397804103,37.8456186440826,24.2165083667923,21.9249397636009,0.19907178716696,0.13092821283304,23.8321552928899,0.0905302685209007,0.152091019642599,0.152091019642599,0.74352677290378
5050,0.3425,0.042486879283627,1,0.295821078431373,90605.5808037558,21586.422110128,176.008068848484,38.6790458156883,4.94412697964445,0.85,0.0171867138530141,0.407377397366269,16.5612632434291,304.427956082059,152.21397804103,38.1381294106694,24.4038386061783,21.9312771864167,0.199131806009504,0.130868193990496,23.8391968737964,0.0950104149813889,0.157794440531919,0.157794440531919,0.743911346162705
5125,0.34,0.042588965488797,1,0.300214460784314,90605.5808037558,21586.422110128,173.432341011677,38.3949853314109,4.9078171101906,0.85,0.017308926204319,0.413427556733095,16.577414512066,302.205854212847,151.102927106424,37.2774663974535,23.8527368635527,21.9162751941033,0.199010578000039,0.130989421999961,23.8225279934481,0.0815699755999244,0.132523726910909,0.132523726910909,0.730176844200124
5000,0.3325,0.0427642945946422,1,0.292892156862745,90605.5808037558,21586.422110128,177.768149536969,38.8719599591304,4.96878612004548,0.85,0.0170892204247306,0.403343957788385,16.5599115968839,295.539548605211,147.769774302605,38.7652210963422,24.8058716197983,21.9612426942959,0.199066526028155,0.130933473971845,23.8724918825509,0.103970707902365,0.135230125523012,0.135230125523012,0.694526475924335
5100,0.3425,0.042869796702083,1,0.29875,90605.5808037558,21586.422110128,174.282499546048,38.4889756442206,4.91983136833964,0.85,0.0172705588802014,0.411410836944153,16.5707372347085,304.427956082059,152.21397804103,37.5568231178981,24.0315594014129,21.9186634038218,0.199012271322398,0.130987728677602,23.825181559802,0.0860501220604125,0.146443514644352,0.146443514644352,0.743112661711442
5125,0.3375,0.0428702070392365,1,0.300214460784314,90605.5808037558,21586.422110128,173.432341011677,38.3949853314109,4.9078171101906,0.85,0.0173053017549443,0.413427556733095,16.5798240808726,299.983752343635,149.991876171818,37.2832832869048,23.8565422596143,21.9201206528656,0.19906824297754,0.13093175702246,23.8268007254062,0.0815699755999244,0.124196346565976,0.124196346565976,0.717681421257422
5100,0.335,0.0431282270107761,1,0.29875,90605.5808037558,21586.422110128,174.282499546048,38.4889756442206,4.91983136833964,0.85,0.0172599404953379,0.411410836944153,16.5778273317215,297.761650474423,148.880825237211,37.5784471146917,24.0457059877051,21.9312534710773,0.198901003407131,0.131098996592869,23.8391705234192,0.0860501220604125,0.121338912133891,0.121338912133891,0.705604423353873
5000,0.34,0.0431349967346491,1,0.292892156862745,90605.5808037558,21586.422110128,177.768149536969,38.8719599591304,4.96878612004548,0.85,0.0170996874512347,0.403343957788385,16.5527981973385,302.205854212847,151.102927106424,38.7441698197113,24.79209884402,21.9488850162101,0.199071095467914,0.130928904532086,23.8587611291223,0.103970707902365,0.160836820083682,0.160836820083682,0.732071897610808
