WS_Nm2,TW_takeoff,TW_cruise_seaLevel,TW_cruise_altitude,TW_OEI,TW_activeEnvelope,WS_landing_weight_limit,WS_takeoff_axis_landing_limit,betaLanding
1000,0.058578431372549,0.655319228451716,0.190697895479449,0.285,0.655319228451716,4743.14850807009,5580.17471537658,0.85
1010,0.0591642156862745,0.649113538073683,0.188892039579442,0.285,0.649113538073683,4743.14850807009,5580.17471537658,0.85
1020,0.05975,0.643032312456772,0.187122402924921,0.285,0.643032312456772,4743.14850807009,5580.17471537658,0.85
1030,0.0603357843137255,0.637071926413765,0.185387930586406,0.285,0.637071926413765,4743.14850807009,5580.17471537658,0.85
1040,0.060921568627451,0.631228894187723,0.183687608208627,0.285,0.631228894187723,4743.14850807009,5580.17471537658,0.85
1050,0.0615073529411765,0.625499862812446,0.182020460078422,0.285,0.625499862812446,4743.14850807009,5580.17471537658,0.85
1060,0.062093137254902,0.619881605848762,0.18038554730199,0.285,0.619881605848762,4743.14850807009,5580.17471537658,0.85
1070,0.0626789215686274,0.614371017472048,0.178781966084366,0.285,0.614371017472048,4743.14850807009,5580.17471537658,0.85
1080,0.0632647058823529,0.60896510688822,0.177208846104472,0.285,0.60896510688822,4743.14850807009,5580.17471537658,0.85
1090,0.0638504901960784,0.603660993057107,0.175665348979618,0.285,0.603660993057107,4743.14850807009,5580.17471537658,0.85
1100,0.0644362745098039,0.598455899703635,0.174150666813758,0.285,0.598455899703635,4743.14850807009,5580.17471537658,0.85
1110,0.0650220588235294,0.59334715059868,0.172664020824216,0.285,0.59334715059868,4743.14850807009,5580.17471537658,0.85
1120,0.0656078431372549,0.588332165092726,0.171204660041983,0.285,0.588332165092726,4743.14850807009,5580.17471537658,0.85
1130,0.0661936274509804,0.583408453886686,0.169771860081026,0.285,0.583408453886686,4743.14850807009,5580.17471537658,0.85
1140,0.0667794117647059,0.578573615025298,0.168364921972362,0.285,0.578573615025298,4743.14850807009,5580.17471537658,0.85
1150,0.0673651960784314,0.573825330099572,0.166983171058975,0.285,0.573825330099572,4743.14850807009,5580.17471537658,0.85
1160,0.0679509803921569,0.569161360645654,0.165625955947885,0.285,0.569161360645654,4743.14850807009,5580.17471537658,0.85
1170,0.0685367647058824,0.56457954472837,0.164292647515956,0.285,0.56457954472837,4743.14850807009,5580.17471537658,0.85
1180,0.0691225490196078,0.560077793698483,0.162982637966259,0.285,0.560077793698483,4743.14850807009,5580.17471537658,0.85
1190,0.0697083333333333,0.555654089113455,0.161695339932015,0.285,0.555654089113455,4743.14850807009,5580.17471537658,0.85
1200,0.0702941176470588,0.551306479812162,0.160430185625339,0.285,0.551306479812162,4743.14850807009,5580.17471537658,0.85
1210,0.0708799019607843,0.547033079134679,0.159186626028192,0.285,0.547033079134679,4743.14850807009,5580.17471537658,0.85
1220,0.0714656862745098,0.54283206227878,0.157964130123125,0.285,0.54283206227878,4743.14850807009,5580.17471537658,0.85
1230,0.0720514705882353,0.538701663785402,0.156762184161552,0.285,0.538701663785402,4743.14850807009,5580.17471537658,0.85
1240,0.0726372549019608,0.534640175145775,0.15558029096742,0.285,0.534640175145775,4743.14850807009,5580.17471537658,0.85
1250,0.0732230392156863,0.530645942523408,0.154417969274312,0.285,0.530645942523408,4743.14850807009,5580.17471537658,0.85
1260,0.0738088235294118,0.526717364584557,0.153274753094106,0.285,0.526717364584557,4743.14850807009,5580.17471537658,0.85
1270,0.0743946078431372,0.522852890431187,0.152150191115475,0.285,0.522852890431187,4743.14850807009,5580.17471537658,0.85
1280,0.0749803921568627,0.519051017630825,0.15104384613057,0.285,0.519051017630825,4743.14850807009,5580.17471537658,0.85
1290,0.0755661764705882,0.515310290338053,0.149955294488373,0.285,0.515310290338053,4743.14850807009,5580.17471537658,0.85
1300,0.0761519607843137,0.511629297502694,0.148884125573284,0.285,0.511629297502694,4743.14850807009,5580.17471537658,0.85
1310,0.0767377450980392,0.508006671160077,0.147829941307582,0.285,0.508006671160077,4743.14850807009,5580.17471537658,0.85
1320,0.0773235294117647,0.504441084799002,0.146792355676509,0.285,0.504441084799002,4743.14850807009,5580.17471537658,0.85
1330,0.0779093137254902,0.500931251803343,0.145770994274773,0.285,0.500931251803343,4743.14850807009,5580.17471537658,0.85
1340,0.0784950980392157,0.497475923963428,0.144765493873358,0.285,0.497475923963428,4743.14850807009,5580.17471537658,0.85
1350,0.0790808823529412,0.494073890053574,0.14377550200559,0.285,0.494073890053574,4743.14850807009,5580.17471537658,0.85
