AR,Span_m,RootChord_m,TipChord_m,MAC_m,K,L_over_D,TW_cruise,TW_req,TW_margin,Mroot_MNm,Score
8,37.2802630892004,7.03401190362272,2.28605386867738,5.06316139855107,0.0468102773799692,16.8616006886959,0.203801891663956,0.292892156862745,0.143765690376569,4.04787353770239,0.499999999999954
8.01,37.3035559768771,7.02961976338578,2.28462642310038,5.05999988628618,0.0467518375829905,16.8693772010772,0.203707942259958,0.292892156862745,0.143765690376569,4.05040266855689,0.49953206401595
8.02,37.3268343292061,7.0252358404378,2.28320164814228,5.0568442889189,0.0466935435211663,16.8771414701409,0.203614227143751,0.292892156862745,0.143765690376569,4.05293022117015,0.499074924195559
8.03,37.3500981733649,7.02086010918771,2.28177953548601,5.05369458802851,0.0466353946500316,16.884893524778,0.203520745440037,0.292892156862745,0.143765690376569,4.05545619849307,0.498628534206752
8.04,37.3733475364463,7.01649254415589,2.28036007685066,5.05055076527448,0.0465773904278301,16.8926333937888,0.203427496277875,0.292892156862745,0.143765690376569,4.05798060346737,0.498192847959209
8.05,37.3965824454588,7.01213311997353,2.2789432639914,5.04741280239604,0.0465195303154974,16.9003611058829,0.203334478790651,0.292892156862745,0.143765690376569,4.06050343902563,0.497767819602775
8.06,37.4198029273271,7.00778181138202,2.27752908869916,5.04428068121177,0.0464618137766444,16.90807668968,0.203241692116049,0.292892156862745,0.143765690376569,4.06302470809131,0.497353403525926
8.07,37.4430090088924,7.00343859323232,2.2761175428005,5.04115438361911,0.0464042402775407,16.9157801737098,0.203149135396032,0.292892156862745,0.143765690376569,4.06554441357883,0.496949554354272
8.08,37.4662007169128,6.99910344048437,2.27470861815742,5.03803389159394,0.0463468092870982,16.9234715864129,0.203056807776806,0.292892156862745,0.143765690376569,4.06806255839356,0.496556226949053
8.09,37.4893780780637,6.99477632820648,2.27330230666711,5.03491918719014,0.0462895202768546,16.9311509561406,0.202964708408802,0.292892156862745,0.143765690376569,4.0705791454319,0.496173376405638
8.1,37.5125411189378,6.99045723157471,2.27189860026178,5.03181025253916,0.0462323727209573,16.9388183111555,0.202872836446646,0.292892156862745,0.143765690376569,4.07309417758129,0.495800958052052
8.11,37.5356898660462,6.9861461258723,2.2704974909085,5.02870706984959,0.0461753660961472,16.9464736796318,0.202781191049131,0.292892156862745,0.143765690376569,4.07560765772028,0.495438927447514
8.12,37.5588243458179,6.98184298648905,2.26909897060894,5.02560962140674,0.0461184998817431,16.954117089656,0.202689771379196,0.292892156862745,0.143765690376569,4.07811958871852,0.495087240380968
8.13,37.5819445846007,6.97754778892074,2.26770303139924,5.02251788957219,0.0460617735596253,16.9617485692265,0.202598576603897,0.292892156862745,0.143765690376569,4.08062997343685,0.494745852869648
8.14,37.6050506086616,6.97326050876855,2.26630966534978,5.0194318567834,0.0460051866142204,16.9693681462546,0.202507605894386,0.292892156862745,0.143765690376569,4.08313881472732,0.494414721157635
8.15,37.6281424441866,6.96898112173847,2.264918864565,5.01635150555326,0.0459487385324851,16.9769758485646,0.20241685842588,0.292892156862745,0.143765690376569,4.08564611543319,0.494093801714435
